conv:people_2019072901_67:aug_0:chat_0:chataug_0| anthony chris| [person:anthony m 0-0][person:chris m 1-1]
mark| Hey Kevin My friend Thomas recently leased a car from Toyota he said its a great car| [person:kevin m 1-1][person:mark m 2-2][person:friend g(mark) 3-3][person:thomas m 4-4][person:thomas m 11-11]
kevin| Nice I was actually looking at a Honda I heard they are nice cars| [person:kevin m 1-1][person:kevin m 8-8][person:they g(kevin) 10-10]
mark| ohh I thought so too But my friend Gary bought a Honda a few months back and said pretty shortly after purchasing the vehicle he was having problems with the transmission| [person:mark m 1-1][person:mark m 6-6][person:friend g(mark) 7-7][person:gary m 8-8][person:gary m 24-24]
kevin| Wow That doesn t sound good or even a reliable brand Maybe I should go with Toyota since your friend Thomas had a better experience| [person:kevin m 12-12][person:mark m 18-18][person:friend g(mark) 19-19][person:thomas m 20-20]
mark| Yes I would agree I have heard good things about Toyota Thomas says his Toyota has had no problems and is excellent on gas He travels quite a distance for work everyday and gets great mileage| [person:mark m 1-1][person:mark m 4-4][person:thomas m 11-11][person:thomas m 13-13][person:thomas m 24-24]
kevin| Great because that s what I need a reliable car because I do drive long distance to work everyday and don t have much time to worry about fixing my car if it breaks down thanks for the heads up really appreciate it talk to you soon| [person:kevin m 5-5][person:kevin m 11-11][person:kevin m 29-29][person:mark m 45-45]
mark| no problem Kevin good luck in your search glad I could help| [person:kevin m 2-2][person:kevin m 6-6][person:mark m 9-9]

conv:people_2019080802_41:aug_0:chat_0:chataug_0| daniel stephen| [person:daniel m 0-0][person:stephen m 1-1]
daniel| Hey Stephen what s up| [person:stephen m 1-1]
daniel| Where do you think we should have the barbecue| [person:stephen m 2-2][person:we g(daniel:stephen) 4-4]
stephen| Hey Daniel just trying to get ready for this BBQ| [person:daniel m 1-1]
stephen| Well Larry said he would grab the chips and Henry said he would grab the burgers and dogs Have you talked to Jonathan about what he plans to bring| [person:larry m 1-1][person:larry m 3-3][person:henry m 9-9][person:henry m 11-11][person:daniel m 19-19][person:jonathan m 22-22][person:jonathan m 25-25]
daniel| I was thinking we could have it by the lake or at the park down the street| [person:daniel m 0-0][person:we g(daniel:stephen) 3-3][location:lake s 9-9][location:park s 13-13][location:street s 16-16]
daniel| Oh shoot I haven t I ll call him rn| [person:daniel m 2-2][person:daniel m 5-5][person:jonathan m 8-8]
stephen| Larry lives on a river maybe he would be willing to have us over there if we promise not to get to crazy like last time| [person:larry m 0-0][location:river s 4-4][person:larry m 6-6][person:we g(daniel:stephen) 12-12][location:river s 14-14][person:we g(daniel:stephen) 16-16]
daniel| Just hung up with Jon he said he can bring drinks and like some store bought cupcakes or something for a sweet treat| [person:jonathan m 4-4][person:jonathan m 5-5][person:jonathan m 7-7]
daniel| omg I didnt even think of that LMAO I hardly remember last time Good idea Can you ask him| [person:daniel m 1-1][person:daniel m 8-8][person:stephen m 16-16][person:jonathan m 18-18]
stephen| Henry will love that he has a major sweet tooth| [person:henry m 0-0][person:henry m 4-4]
stephen| I will call him right now Lol be glad you dont| [person:stephen m 0-0][person:henry m 3-3][person:daniel m 9-9]
daniel| hahahaha ok So we are set on snacks and as long as Larry says yes we ve got a place| [person:we g(daniel:stephen) 3-3][person:larry m 12-12][person:we g(daniel:stephen) 15-15][location:river s 19-19]
stephen| Larry agreed but says he will hold us personally responsible if things get out of hand lmao| [person:larry m 0-0][person:larry m 4-4][person:we g(daniel:stephen) 7-7]
stephen| I can bring some drinks and then I think we have everything we need| [person:stephen m 0-0][person:stephen m 7-7][person:we g(daniel:stephen) 9-9][person:we g(daniel:stephen) 12-12]
stephen| This is going to be a blast|
daniel| HAHAHA okay I promise I won t do more than a few shots this time Word| [person:daniel m 2-2][person:daniel m 4-4]
daniel| I ll see you there homie| [person:daniel m 0-0][person:stephen m 3-3][location:river s 4-4]
daniel| have a great day|

conv:people_2019080802_43:aug_0:chat_0:chataug_0| carl jordan| [person:carl m 0-0][person:jordan m 1-1]
jordan| Yo Carl| [person:carl m 1-1]
carl| Sup Jordan| [person:jordan m 1-1]
jordan| Nothin much cillin what s good|
carl| Well my parents Judy and Alan are visiting Dallas you re from there right| [person:carl m 1-1][person:parents g() 2-2][person:judy f 3-3][person:alan m 5-5][location:dallas s 8-8][person:jordan m 9-9][location:dallas s 12-12]
jordan| Yeah man that s correct Do you need help with anything| [person:carl m 6-6]
carl| Was wondering if you could pick them up from the airport and take them to the hotel| [person:jordan m 3-3][person:parents g(judy:alan) 6-6][location:airport s 10-10][person:parents g(judy:alan) 13-13][location:hotel s 16-16]
jordan| Sure what do you parents like to eat I d love to treat them to a meal before we get to the hotel| [person:carl m 3-3][person:parents g(judy:alan) 4-4][person:jordan m 8-8][person:parents g(judy:alan) 13-13][person:we g(jordan:judy:alan) 18-18][location:hotel s 22-22]
carl| They love old people stuff like pickles and oatmeal| [person:parents g(judy:alan) 0-0]
jordan| Ok noted I ll pick them up just send me the details later| [person:jordan m 2-2][person:parents g(judy:alan) 5-5][person:jordan m 9-9]
carl| thanks man I owe you| [person:carl m 2-2][person:jordan m 4-4]

conv:people_2019080802_46:aug_0:chat_0:chataug_0| chris ryan| [person:chris m 0-0][person:ryan m 1-1]
ryan| Hey what s up|
chris| Hey how are you| [person:ryan m 3-3]
ryan| Good|
chris| How did your party go with your colleagues| [person:ryan m 2-2][person:ryan m 6-6][person:colleagues g() 7-7]
ryan| Oh man it was crazy|
chris| How did charles and paul get along| [person:charles m 2-2][person:paul m 4-4]
ryan| They had a few too many drinks and almost came to blows| [person:they g(charles:paul) 0-0]
chris| I thought that would happen did Andrew stay sober| [person:chris m 0-0][person:andrew m 6-6]
chris| That is what i expected to happen did andrew drink| [person:chris m 3-3][person:andrew m 8-8]
chris| I saw that coming Did andrew drink| [person:chris m 0-0][person:andrew m 5-5]
ryan| Oh yea he is off the wagon in a big way| [person:andrew m 2-2]

conv:people_2019080802_49:aug_0:chat_0:chataug_0| carol mary| [person:carol f 0-0][person:mary f 1-1]
carol| Hi Mary| [person:mary f 1-1]
mary| Hi Carol| [person:carol f 1-1]
carol| I am planning on going to California to visit Emily and Jessica soon| [person:carol f 0-0][location:california s 6-6][person:emily f 9-9][person:jessica f 11-11]
carol| Where do you thing we should go They are big foodies| [person:mary f 2-2][person:we g(carol:mary) 4-4][person:they g(emily:jessica) 7-7]
mary| Oh really That s awesome As a Los Angeles resident I think I can point you in the direction of some cool activities Is this your first time| [location:los_angeles s 7-8][person:mary f 10-10][person:mary f 12-12][person:carol f 15-15][person:carol f 25-25]
carol| Yes all three of us is first time| [person:us g(carol:emily:jessica) 4-4]
mary| I think you would enjoy the Fun Retro Burger Shack It s a very atmospheric restaurant and the burgers are to die for| [person:mary f 0-0][person:carol f 2-2][location:burger_shack s 9-9][location:burger_shack s 10-10][location:burger_shack s 15-15]
mary| I also like Umami Burger Have you been to Universal Studios before| [person:mary f 0-0][person:carol f 6-6][location:universal_studios s 9-10]
carol| Awesome we love burgers we will check it out for sure| [person:us g(carol:emily:jessica) 1-1][person:us g(carol:emily:jessica) 4-4]
carol| No we will be at Universal Studios on the weekend we will check out Umami as well Thank for the info| [person:us g(carol:emily:jessica) 1-1][location:universal_studios s 5-6][person:us g(carol:emily:jessica) 10-10]
mary| No problem If you have any more questions please let me know I ll be happy to help| [person:carol f 3-3][person:mary f 10-10][person:mary f 12-12]
carol| Thanks talk to you later| [person:mary f 3-3]
mary| See ya|

conv:people_2019080802_50:aug_0:chat_0:chataug_0| chris ryan| [person:chris m 0-0][person:ryan m 1-1]
chris| Hey How was the party|
ryan| hi Chris| [person:chris m 1-1]
chris| What did you do with Charles Paul and Andrew| [person:ryan m 2-2][person:charles m 5-5][person:paul m 6-6][person:andrew m 8-8]
ryan| yah the party went good|
ryan| what did u do with andrew| [person:chris m 2-2][person:andrew m 5-5]
chris| Just hung out with alot of people from the office It was a great time| [location:office s 9-9]
ryan| i just taked with him and discused about the party| [person:ryan m 0-0][person:andrew m 4-4]
chris| Great Did they tell you any good gossip| [person:they g(andrew:paul:charles) 2-2][person:ryan m 4-4]

conv:people_2019080802_51:aug_0:chat_0:chataug_0| daniel stephen| [person:daniel m 0-0][person:stephen m 1-1]
stephen| Hey Daniel| [person:daniel m 1-1]
daniel| Hey Stephen How are you dong| [person:stephen m 1-1][person:stephen m 4-4]
stephen| Great Listen I was wondering if we could plan a BBQ get together sometime| [person:stephen m 2-2][person:we g(stephen:daniel) 6-6]
daniel| Good to hear I would be down to have a BBQ session Who are you thinking of inviting| [person:daniel m 3-3][person:stephen m 14-14]
stephen| I was thinking maybe Jonathan Larry and Henry since they re all in town this week| [person:stephen m 0-0][person:jonathan m 4-4][person:larry m 5-5][person:henry m 7-7][person:they g(jonathan:larry:henry) 9-9][location:town s 13-13]
daniel| Yeah it would be great to catch up with them I hear the park has a good setup for grilling| [person:they g(jonathan:larry:henry) 9-9][person:daniel m 10-10][location:park s 13-13]
stephen| Sounds great I can bring hot dogs hamburgers and condiments| [person:stephen m 2-2]
daniel| Alright I ll bring the drinks I ll let the guys know It s going to be great catching up the five of us| [person:daniel m 1-1][person:daniel m 6-6][person:us g(stephen:daniel:jonathan:larry:henry) 23-23]
stephen| Yup See you at the park then| [person:daniel m 2-2][location:park s 5-5]

conv:people_2019080802_52:aug_0:chat_0:chataug_0| carol mary| [person:carol f 0-0][person:mary f 1-1]
mary| hey Carol how are you doing| [person:carol f 1-1][person:carol f 4-4]
carol| Hello I m doing well I m planning a trip to California with Emily and Jessica| [person:carol f 1-1][person:carol f 5-5][location:california s 11-11][person:emily f 13-13][person:jessica f 15-15]
mary| you still planning on visiting California with Emily and Jessica| [person:carol f 0-0][location:california s 5-5][person:emily f 7-7][person:jessica f 9-9]
carol| What places should we visit| [location:places g() 1-1][person:we g(mary:carol) 3-3]
mary| what do they enjoy doing| [person:they g(emily:jessica) 2-2]
carol| They are usually up for anything Shopping sightseeing maybe some good places to eat| [person:they g(emily:jessica) 0-0][location:places g() 11-11]
mary| Hmmm that sounds interesting You can visit the Glendale Shopping Mall that has some amazing shops| [person:carol f 4-4][location:glendale_shopping_mall s 9-10]
carol| Oh That sounds nice I bet there are some good restaurants there too| [person:carol f 4-4][location:restaurants g() 10-10][location:glendale_shopping_mall s 11-11]
mary| They will enjoy good food from various countries all available at the Mall| [person:they g(emily:jessica) 0-0][location:countries g() 7-7][location:glendale_shopping_mall s 12-12]
mary| I will join you all should my schedule allow me to| [person:mary f 0-0][person:carol f 3-3][person:mary f 6-6][person:mary f 9-9]
carol| Okay thanks for letting me know I m sure we will have a great time| [person:carol f 4-4][person:carol f 6-6][person:we g(mary:carol) 9-9]
mary| Let me know when you settle on a date and i will try and make myself available| [person:mary f 1-1][person:carol f 4-4][person:mary f 10-10][person:mary f 15-15]
mary| Have a good day and let s chat later|
mary| Bye for now|
carol| Okay Will do Talk to you later| [person:mary f 5-5]

conv:people_2019080802_54:aug_0:chat_0:chataug_0| hannah ralph| [person:hannah f 0-0][person:ralph m 1-1]
ralph| Hey Hannah Have you decided what gift to get for Jackie and Albert| [person:hannah f 1-1][person:hannah f 3-3][person:jackie f 10-10][person:albert m 12-12]
hannah| I am not quite sure what I should buy| [person:hannah f 0-0][person:hannah f 6-6]
hannah| do you know what they like| [person:ralph m 1-1][person:jackie___albert g(jackie:albert) 4-4]
ralph| Your so much better than me in picking out gifts I m still up in the air But I was thinking about concert tickets| [person:hannah f 0-0][person:ralph m 5-5][person:ralph m 10-10][person:ralph m 18-18]
hannah| That sounds great do you know what band or style of music they like do they like classic| [person:ralph m 4-4][person:jackie___albert g(jackie:albert) 12-12][person:jackie___albert g(jackie:albert) 15-15]
ralph| I m not 100 sure but I heard Albert say one time he had a CD in his radio from The Stones You live near the ticket Master Do you think it s be a good idea to see what s going on over there I ll split the cost with you later| [person:ralph m 0-0][person:ralph m 6-6][person:albert m 8-8][person:albert m 12-12][person:albert m 17-17][person:hannah f 22-22][person:hannah f 29-29][person:ralph m 45-45]
