conv:people_2019090101_269:aug_0:chat_0:chataug_0| april julia| [person:april f 0-0][person:julia f 1-1]
philip| I have made min to understand that He is happy with any Burgers Just make sure there is no cheese in it| [person:philip m 0-0][person:josh m 7-7]
sandy| That s great I ll get everything and I ll be there within quarter past 9 Take care of your sister till I come| [person:sandy f 3-3][person:sandy f 8-8][person:philip m 19-19][person:suzy f 20-20][person:sandy f 22-22]
philip| Don t worry about that She is very happy at my presence and in your absence Have a safe ride and make it soon| [person:suzy f 5-5][person:philip m 10-10][person:sandy f 14-14]

conv:chats_1126_70:aug_0:chat_0:chataug_0| elizabeth sue| [person:elizabeth f 0-0][person:sue f 1-1]
sue| Elizabeth have you checked about the new groomer Judith for our poodle| [person:elizabeth f 0-0][person:elizabeth f 2-2][person:judith f 8-8][person:our g(sue:elizabeth) 10-10]
elizabeth| I have gone through his profile He is an expert in grooming the poodles| [person:elizabeth f 0-0][person:groomer m 4-4][person:groomer m 6-6]
sue| Let s get a new look for our poodle this time What do you say| [person:our g(sue:elizabeth) 7-7][person:elizabeth f 13-13]
sue| I feel the Puppy cut would suit our puddle better| [person:elizabeth f 0-0][person:our g(sue:elizabeth) 7-7]
elizabeth| I already informed Judith to go with the Lion cut Because it is trending these days| [person:elizabeth f 0-0][person:judith f 3-3]
elizabeth| Judith also suggested a variation in the Lion cut which might look even better on our poodle| [person:judith f 0-0][person:our g(sue:elizabeth) 15-15]
sue| Elizabeth you have an appointment with Judith for our poodle and you re already late| [person:elizabeth f 0-0][person:elizabeth f 1-1][person:judith f 6-6][person:our g(sue:elizabeth) 8-8][person:elizabeth f 11-11]
elizabeth| I am so sorry Sue I am struck with a lot of work and I might not be able to be there on time| [person:elizabeth f 0-0][person:sue f 4-4][person:elizabeth f 5-5][person:elizabeth f 14-14]
sue| Alright then I ll take out our poodle for the appointment and I m sure you re going to fall in love with the new look when you return home after work| [person:sue f 2-2][person:our g(sue:elizabeth) 6-6][person:sue f 12-12][person:elizabeth f 15-15][person:elizabeth f 27-27][location:home s 29-29]
elizabeth| So kind of you Sue I will be excited to see our poodle after the transformation| [person:sue f 3-3][person:sue f 4-4][person:elizabeth f 5-5][person:our g(sue:elizabeth) 11-11]

conv:chats_1126_71:aug_0:chat_0:chataug_0| aiden clyde| [person:aiden m 0-0][person:clyde m 1-1]
aiden| Clyde I was thinking we should all go to the lake this Saturday| [person:clyde m 0-0][person:aiden m 1-1][person:aiden___clyde g(aiden:clyde) 4-4]
clyde| Are we going for just a picnic| [person:aiden___clyde g(aiden:clyde) 1-1]
aiden| I d like spend some time swimming and fishing I haven t done that in a long time| [person:aiden m 0-0][person:aiden m 9-9]
clyde| That s great The kids will enjoy a lot| [person:emily___ron g() 4-4]
aiden| Also it will be a relaxing experience for everyone| [person:everyone g(aiden:clyde) 8-8]
clyde| Yes But we will have to teach Ron how to swim| [person:aiden___clyde g(aiden:clyde) 2-2][person:ron m 7-7]
aiden| Yes it is time he learnt to swim And we will teach Emily how to fish| [person:ron m 4-4][person:aiden___clyde g(aiden:clyde) 9-9][person:emily f 12-12]
clyde| Yeah she was telling me she really wants to get good at it| [person:emily f 1-1][person:clyde m 4-4][person:emily f 5-5]
aiden| Don t tell them yet we will surprise them| [person:emily___ron g(ron:emily) 3-3][person:aiden___clyde g(aiden:clyde) 5-5][person:emily___ron g(ron:emily) 8-8]
clyde| Sure I m so excited for the weekend| [person:clyde m 1-1]

conv:chats_1126_73:aug_0:chat_0:chataug_0| barbara juan| [person:barbara f 0-0][person:juan m 1-1]
juan| Hey Barbara can you pick up some cigars for me on the way please| [person:barbara f 1-1][person:barbara f 3-3][person:juan m 9-9]
barbara| What Juan do you understand that you have lung problem| [person:juan m 1-1][person:juan m 3-3][person:juan m 6-6]
juan| Yes I know about that Barbara Now can you bring some cigars for me| [person:juan m 1-1][person:barbara f 5-5][person:barbara f 8-8][person:juan m 13-13]
barbara| But what do Angela think about this when she knew| [person:angela f 3-3][person:angela f 8-8]
juan| Angela refused point blankly That s why I m asking you Barbara| [person:angela f 0-0][person:juan m 7-7][person:barbara f 10-10][person:barbara f 11-11]
barbara| I am not at all happy about this Juan| [person:barbara f 0-0][person:juan m 8-8]
juan| You don t have to be happy Just bring me cigars and I ll be happy| [person:barbara f 0-0][person:juan m 9-9][person:juan m 12-12]
barbara| Juan please understand me and follow the doctor s order| [person:juan m 0-0][person:barbara f 3-3][person:doctor u 7-7]
juan| Barbara please I know to stop but can t Do me a favor and bring me some cigars please| [person:barbara f 0-0][person:juan m 2-2][person:juan m 10-10][person:juan m 15-15]
barbara| OK fine this will be the last one|

conv:chats_1126_75:aug_0:chat_0:chataug_0| cecil issac| [person:cecil f 0-0][person:issac m 1-1]
cecil| Hi Issac Are the kids having fun at the water park| [person:issac m 1-1][person:kids g() 4-4][location:park s 10-10]
issac| These stupid people won t allow Alan on a roller coaster| [person:alan m 6-6]
cecil| Why do you think that is| [person:issac m 2-2]
issac| Apparently he is not tall enough I tried to convince the guy but it didn t work| [person:alan m 1-1][person:issac m 6-6]
cecil| Poor Issac Why don t you take him on the other rides| [person:issac m 1-1][person:issac m 5-5][person:alan m 7-7]
issac| What other rides do you think he might be interested in| [person:cecil f 4-4][person:alan m 6-6]
cecil| He ll like the Ferris wheel Try that| [person:alan m 0-0]
issac| I did exactly what you said They enjoyed it a lot| [person:issac m 0-0][person:issac m 4-4][person:they g(alan) 6-6]
cecil| Great When will you be back home| [person:issac m 3-3][location:home s 6-6]
issac| We will be home by dinner time| [person:we g(cecil:issac) 0-0][location:home s 3-3]

conv:chats_1126_76:aug_0:chat_0:chataug_0| lori tania| [person:lori f 0-0][person:tania f 1-1]
tania| Hi Lori How was the day today| [person:lori f 1-1]
lori| Hi Tania The day was good and I enjoyed a lot| [person:tania f 1-1][person:lori f 7-7]
tania| Okay Then go and refresh yourself We will talk| [person:lori f 5-5][person:we g(tania:lori) 6-6]
lori| Okay I will be within 20 minutes you just clear the baggage| [person:lori f 1-1][person:lori f 7-7]
tania| Yeah I will do it I think our friends Stephanie and Judy had a great time with us| [person:tania f 1-1][person:tania f 5-5][person:our g(tania:lori) 7-7][person:our g(tania:lori) 8-8][person:stephanie f 9-9][person:judy f 11-11]
lori| Yeah It seems they both loved our company| [person:they g(stephanie:judy) 3-3][person:our g(tania:lori) 6-6]
tania| Yes I also can t forget that incident about the tourist Harold| [person:tania f 1-1][person:harold m 11-11]
lori| Yes Harold has lost the address and also we can t understand his words| [person:harold m 1-1][person:we g(tania:lori) 8-8][person:harold m 12-12]
tania| Yeah That was funny I can t forget that incident| [person:tania f 4-4]
lori| Yeah even I cant forget it How we managed it and finally we reached the spot| [person:lori f 2-2][person:we g(tania:lori) 7-7][person:we g(tania:lori) 12-12]

conv:chats_1126_77:aug_0:chat_0:chataug_0| jacoby mary| [person:jacoby m 0-0][person:mary f 1-1]
mary| Hey Jacoby I am in the hospital now| [person:jacoby m 1-1][person:mary f 2-2][location:hospital s 6-6]
jacoby| Hey Mary Why What is the matter| [person:mary f 1-1]
mary| I got my finger cut off wile I am slicing the onion| [person:mary f 0-0][person:mary f 2-2][person:mary f 7-7]
jacoby| Oh We have a meeting today How can you attend| [person:we g(mary:jacoby) 1-1][person:mary f 8-8]
mary| Yeah I know that but I can t attend it now| [person:mary f 1-1][person:mary f 5-5]
jacoby| Okay What shall we do now as this meeting is very important everyone should attend it| [person:we g(mary:jacoby) 3-3][person:everyone g() 12-12]
mary| Can you ask our teacher Mr Vincent about the reschedule| [person:jacoby m 1-1][person:we g(mary:jacoby) 3-3][person:vincent m 6-6]
jacoby| Yeah Sure Mr Vincent is good person He will understand your situation| [person:vincent m 3-3][person:vincent m 7-7][person:mary f 10-10]
jacoby| I will ask him and update you about the meeting soon| [person:jacoby m 0-0][person:vincent m 3-3][person:mary f 6-6]
mary| Okay that s fine I will be waiting for your reply| [person:mary f 4-4][person:jacoby m 9-9]

conv:chats_1126_78:aug_0:chat_0:chataug_0| ana anthony| [person:ana f 0-0][person:anthony m 1-1]
ana| Hey Anthony How do you think about a double date with Dwayne and Tara| [person:anthony m 1-1][person:anthony m 4-4][person:dwayne m 11-11][person:tara f 13-13]
anthony| Who s Dwayne Tara s new boyfriend I thought she was dating Brian| [person:dwayne m 2-2][person:tara f 3-3][person:anthony m 7-7][person:tara f 9-9][person:brian m 12-12]
ana| No they broke up last week Dwayne is a good guy I met him last Saturday I am sure you will like him| [person:they g(tara:brian) 1-1][person:dwayne m 6-6][person:ana f 11-11][person:dwayne m 13-13][person:ana f 16-16][person:anthony m 19-19][person:dwayne m 22-22]
anthony| Ana you know I get uncomfortable around your friends I don t think a double date with them is a good idea| [person:ana f 0-0][person:ana f 1-1][person:anthony m 3-3][person:ana f 7-7][person:friends g(dwayne:tara) 8-8][person:anthony m 9-9][person:them g(dwayne:tara) 17-17]
ana| l have been friends with Tara since college I am sure you will not regret this| [person:friends g(ana:tara) 3-3][person:tara f 5-5][person:ana f 8-8][person:anthony m 11-11]
anthony| Well I do remember having a good time at the movie last month with Tara and her old boyfriend Brian| [person:anthony m 1-1][person:tara f 14-14][person:tara f 16-16][person:brian m 19-19]
ana| Dwayne is also great guy I think you should meet him| [person:dwayne m 0-0][person:ana f 5-5][person:anthony m 7-7][person:dwayne m 10-10]
anthony| Okay Ana Anything for you| [person:ana f 1-1][person:ana f 4-4]
ana| Alright then we will meet them this Sunday| [person:we g(ana:anthony) 2-2][person:them g(dwayne:tara) 5-5]
anthony| Okay I am looking forward to it| [person:anthony m 1-1]

conv:chats_1126_80:aug_0:chat_0:chataug_0| christine dave| [person:christine f 0-0][person:dave m 1-1]
christine| Hey Dave Do you think that Lisa is old enough to travel| [person:dave m 1-1][person:dave m 3-3][person:lisa f 6-6]
dave| Of course How can we leave her She can t survive that long in our absence| [person:we g(christine:dave) 4-4][person:lisa f 6-6][person:lisa f 7-7][person:we g(christine:dave) 14-14]
christine| I do agree with that But have you ever thought about what Keith feels about it| [person:christine f 0-0][person:dave m 7-7][person:keith m 12-12]
dave| Why should Keith get disappointed if his sister is travelling with him At the same time Lisa cannot stay without me Do you have anything in your mind| [person:keith m 2-2][person:keith m 6-6][person:lisa f 7-7][person:keith m 11-11][person:lisa f 16-16][person:dave m 20-20][person:christine f 22-22][person:christine f 26-26]
christine| If I am a 5 year old boy going to Europe for the first time I don t want a crying sister along with me and parents whose focus will always be on my sister| [person:christine f 1-1][location:europe s 10-10][person:christine f 15-15][person:sister f 21-21][person:christine f 24-24][person:parents g() 26-26][person:christine f 33-33][person:sister f 34-34]
dave| Are you suggesting to leave behind Lisa Who will take care of her| [person:christine f 1-1][person:lisa f 6-6][person:lisa f 12-12]
christine| I have spoke to my mom regarding this Even she suggested that Lisa is not old enough to travel so long Is that okay for you| [person:christine f 0-0][person:christine f 4-4][person:mom f 5-5][person:mom f 9-9][person:lisa f 12-12][person:dave m 25-25]
dave| I am sure that I don t have a choice You people have decided already I just want to know whether Keith has any role in this| [person:dave m 0-0][person:dave m 4-4][person:christine f 10-10][person:dave m 15-15][person:keith m 21-21]
christine| Keith loves his sister very much As a parent we should have knowledge about what a 5 year old will think in this situation| [person:keith m 0-0][person:keith m 2-2][person:lisa f 3-3][person:we g(christine:dave) 8-8][person:we g(christine:dave) 9-9]
dave| I understand that I don t want to discuss this further We ll do accordingly Just end this conversation| [person:dave m 0-0][person:dave m 3-3][person:we g(christine:dave) 11-11]

conv:chats_1126_81:aug_0:chat_0:chataug_0| aaron jasmine| [person:aaron m 0-0][person:jasmine f 1-1]
aaron| Jasmine I have heard about Gerald s upcoming violin recital| [person:jasmine f 0-0][person:aaron m 1-1][person:gerald m 5-5]
jasmine| Yes Aaron I ve mailed you the invitation for the same| [person:aaron m 1-1][person:jasmine f 2-2][person:aaron m 5-5]
aaron| I will arrive much early Jasmine I can t afford to miss your son s performance| [person:aaron m 0-0][person:jasmine f 5-5][person:aaron m 6-6][person:jasmine f 12-12][person:gerald m 13-13]
