conv:people_2019081802_39:aug_0:chat_0:chataug_0| alexander johnny| [person:alexander m 0-0][person:johnny m 1-1]
conv:people_2019081901_76:aug_0:chat_0:chataug_0| jack jerry| [person:jack m 0-0][person:jerry m 1-1]
jack| Hey Jerry how s it going| [person:jerry m 1-1]
jerry| It s going well just been busy with work but all is good how about yourself| [person:jack m 15-15]
jack| It s good I feel like we haven t caught up in a while| [person:jack m 3-3][person:we g(jack:jerry) 6-6]
jack| So I wanted to invite you Mike and Christine out for lunch It would be like old times| [person:jack m 1-1][person:jerry m 5-5][person:mike m 6-6][person:christine f 8-8]
jerry| Hahah that would be awesome What day were you planning on| [person:jack m 8-8]
jack| Hmmm I m not sure yet what day works for you| [person:jack m 1-1][person:jerry m 10-10]
jack| I know that you and Christine are always so busy She mentioned that Sunday would be a great day| [person:jack m 0-0][person:jerry m 3-3][person:christine f 5-5][person:christine f 10-10]
jerry| Hmmmm I actually think I can do Sunday I have nothing going on that day| [person:jerry m 1-1][person:jerry m 4-4][person:jerry m 8-8]
jack| Perfect Sunday is it What time|
jerry| How about anytime after noon|
jerry| I like to enjoy my mornings and sleep in on Sunday| [person:jerry m 0-0][person:jerry m 4-4]
jack| You ve got it meet at SUR restaurant around 130pm for lunch with the others| [person:jerry m 0-0][location:restaurant s 7-7][person:other g() 14-14]
jerry| Sweet thanks for inviting me I ll see you on Sunday| [person:jerry m 4-4][person:jerry m 5-5][person:jack m 8-8]

conv:people_2019081901_78:aug_0:chat_0:chataug_0| roger william| [person:roger m 0-0][person:william m 1-1]
william| So are you ready for the big game| [person:roger m 2-2]
roger| Yessss Getting ready to get off work here in a bit| [location:here u 7-7]
roger| Remember to bring your own beer| [person:william m 3-3]
william| Right on I ll stop by the pizza place and get us a couple of supremes| [person:william m 2-2][location:place s 8-8][person:us g(william:roger) 11-11]
roger| Sounds great I really need to start watching my weight I might just make a salad but you do you| [person:roger m 2-2][person:roger m 8-8][person:roger m 10-10][person:william m 17-17][person:william m 19-19]
william| Knowing Doug you ll be in good company That guy can lift a cow And he eats like one too| [person:doug m 1-1][person:roger m 2-2][person:doug m 15-15]
william| Doug eats a lot| [person:doug m 0-0]
roger| Oh I got it| [person:roger m 1-1]
roger| I m glad you decided to invite Billy too He s going through some hard times| [person:roger m 0-0][person:william m 3-3][person:billy m 7-7][person:billy m 9-9]
william| Yeah he is We ve gotta make sure and cheer him up| [person:billy m 1-1][person:us g(william:roger) 3-3][person:billy m 10-10]
roger| Women just are not his specialty| [person:billy m 4-4]
william| I get that| [person:william m 0-0]
william| So my house or yours| [person:william m 1-1][location:house s 2-2][person:roger m 4-4]
roger| I think I d rather go to yours this time My wife s not in a great mood| [person:roger m 0-0][person:roger m 2-2][person:william m 7-7][person:roger m 10-10][person:wife f 11-11]
william| Gotcha No problem bro|
roger| Do we want pizza from Pizza Hut or Dominoes| [person:us g(william:roger) 1-1][location:pizza_hut s 5-6][location:dominoes s 8-8]
william| I think the Hut is closer to work for me| [person:william m 0-0][location:pizza_hut s 3-3][person:william m 9-9]
roger| Okay sounds great See you there| [person:william m 4-4][location:house s 5-5]
william| Over and out|

conv:people_2019081901_79:aug_0:chat_0:chataug_0| robert walt| [person:robert m 0-0][person:walt m 1-1]
robert| Hello Walt So can we decide on our concert plans| [person:walt m 1-1][person:we g(robert:walt) 4-4][person:our g(robert:walt) 7-7]
walt| Greetings Robert Yes let s decide now| [person:robert m 1-1]
robert| I am thinking about going to watch a jazz music concert| [person:robert m 0-0]
walt| Will Mike and Jeff come too| [person:mike m 1-1][person:jeff m 3-3]
robert| Yes they will be coming| [person:they g(robert:walt:mike:jeff) 1-1]
robert| So first of all which day fits us better| [person:us g(robert:walt:mike:jeff) 7-7]
walt| I think it is normal to presume that we will be free on Sunday right| [person:walt m 0-0][person:we g(robert:walt) 8-8]
robert| Yes Sunday is great|
walt| I know you like jazz music but I know that Mike and Jeff enjoy blues music| [person:walt m 0-0][person:robert m 2-2][person:walt m 7-7][person:mike m 10-10][person:jeff m 12-12]
robert| Well I also enjoy blues music| [person:robert m 1-1]
walt| So then we can go then on Sunday at a blues music concert| [person:we g(robert:walt) 2-2]
robert| Yes it will be fun as long as we are together| [person:we g(robert:walt) 8-8]
walt| See you on Sunday then| [person:robert m 1-1]
robert| Great See you| [person:robert m 2-2]

conv:people_2019081901_80:aug_0:chat_0:chataug_0| jacqueline stephen| [person:jacqueline f 0-0][person:stephen m 1-1]
stephen| Hi Jac Are you free now| [person:jacqueline f 3-3]
jacqueline| Yes Stephen I am free now Anything important| [person:stephen m 1-1][person:jacqueline f 2-2]
stephen| Do you forget Jac Tomorrow we are planning to go to Cinema| [person:jacqueline f 1-1][person:we g(stephen) 5-5]
jacqueline| Yes I remember it Myself with our friends Beverly Derrick Amy and Tyler are eager to go to cinema tomorrow| [person:jacqueline f 1-1][person:stephen m 6-6][person:friends g(stephen:jacqueline) 7-7][person:beverly f 8-8][person:derrick m 9-9][person:amy f 10-10][person:tyler m 12-12]
stephen| That is nice Do you know the genre of the movie| [person:jacqueline f 4-4]
jacqueline| No idea Stephen Do you know it| [person:stephen m 2-2][person:stephen m 4-4]
stephen| It is a suspense thriller story Jac Our friends especially Amy and Tyler are very much interested in that genre| [person:jacqueline f 7-7][person:friends g(stephen:jacqueline) 8-8][person:amy f 10-10][person:tyler m 12-12]
jacqueline| Oh Good Me too very much interested in that genre| [person:stephen m 2-2]
stephen| Is it Good Shall we discuss the things to be purchased to make our move night a fantastic one| [person:we g(stephen) 4-4][person:jacqueline f 13-13]
jacqueline| Oh Sure What shall we purchase| [person:we g(jacqueline) 4-4]
stephen| Let us purchase 10 packets of potato chips and cock What is your opinion| [person:us g(stephen) 1-1][person:jacqueline f 12-12]
jacqueline| It is a good idea Let us purchase some more cookies to eat| [person:us g(jacqueline) 6-6]
stephen| It is good too Let me purchase all these things We will meet tomorrow Bye dear| [person:jacqueline f 5-5][person:we g(stephen) 10-10]
jacqueline| Bye|

conv:people_2019081901_81:aug_0:chat_0:chataug_0| andrea martin| [person:andrea f 0-0][person:martin m 1-1]
andrea| hai martin today susan and joan are visiting our home what a pleasant surprise| [person:martin m 1-1][person:susan f 3-3][person:joan f 5-5][person:andrea_martin g(andrea:martin) 8-8][location:home s 9-9]
martin| yes andrea its a surprise for us what are the plans do you have| [person:andrea f 1-1][person:andrea_martin g(andrea:martin) 6-6][person:andrea f 12-12]
andrea| i am going to change the curtains cleaning the hall and cook some good food for them| [person:andrea f 0-0][location:hall s 9-9][person:susan_joan g(susan:joan) 16-16]
martin| wow such a great idea I will help you in cooking foods and cleaning the hall| [person:martin m 5-5][person:andrea f 8-8][location:hall s 15-15]
andrea| oh thanks martin you re such a wonderful person Please get me some vegetables| [person:martin m 2-2][person:martin m 3-3][person:andrea f 11-11]
martin| ok give me the list of items need to purchase apart from vegetables| [person:martin m 2-2]
andrea| some snacks and sweets like pizza chips and coke|
martin| whether any gifts you wish to give to them| [person:andrea f 3-3][person:susan_joan g(susan:joan) 8-8]
andrea| oh yes will you buy some fantastic gifts like watch for both of them| [person:martin m 3-3][person:susan_joan g(susan:joan) 13-13]
martin| ok thats great idea both of them will become happy to see the gifts| [person:susan_joan g(susan:joan) 6-6]

conv:people_2019081901_82:aug_0:chat_0:chataug_0| april beverly| [person:april f 0-0][person:beverly f 1-1]
april| Hello Beverly I ran into Pedro this morning I told him we won t make it for breakfast with him Sarah and the Clarks| [person:beverly f 1-1][person:april f 2-2][person:pedro m 5-5][person:april f 8-8][person:april f 10-10][person:we g(april:beverly:pedro) 11-11][person:april f 19-19]
beverly| Thanks I had no idea how to tell them| [person:april f 1-1][person:them g(april:beverly:pedro) 8-8]
april| You re welcome Breakfast is too early anyways So what time will you be free| [person:april f 0-0][person:april f 12-12]
beverly| I was thinking of waking up late i ve had a rough week Does the afternoon work for you| [person:april f 0-0][person:april f 7-7][person:april f 18-18]
april| Yeah sounds great Are we going bowling| [person:we g(april:pedro) 4-4][location:bowling s 6-6]
beverly| Too tired for bowling Let s do something more relaxing like a movie or something| [location:bowling s 3-3]
april| How about we hit the spa That would relax the hell out of us| [person:we g(april:beverly:pedro) 2-2][location:spa s 5-5][person:us g(april:beverly:pedro) 13-13]
beverly| April this is why you are my best friend It s been ages I ve set foot in a spa| [person:april f 0-0][person:april f 4-4][person:april f 6-6][person:friend u 8-8][person:april f 13-13][location:spa s 19-19]
april| Brilliant See you there then We ll go for ice cream after that| [person:april f 2-2][location:spa s 3-3][person:we g(april:beverly:pedro) 5-5]
beverly| You are god send Can t wait for it This weekend is going to be a blast| [person:april f 0-0]

conv:people_2019081901_83:aug_0:chat_0:chataug_0| bob ralph| [person:bob m 0-0][person:ralph m 1-1]
bob| Its been a while|
ralph| Sure lets hook up at our usual spot| [person:our g(bob:ralph) 5-5]
bob| Yeah 5pm tonight|
ralph| Awesome now can we invite someone| [person:we g(bob:ralph) 3-3][person:someone u 5-5]
bob| Definitly why not|
ralph| Can we invite George| [person:we g(bob:ralph) 1-1][person:george m 3-3]
bob| No he is too full of himself i dont like his company| [person:bob m 1-1][person:bob m 6-6][person:bob m 7-7][person:bob m 10-10]
ralph| Haha Are you forreal| [person:bob m 2-2]
bob| Yes maybe ricky He is so lively| [person:ricky m 2-2][person:bob m 3-3]
ralph| Ricky is lively but judgemental he is choosy too| [person:ricky m 0-0][person:bob m 5-5]
bob| So|
bob| you dont like him either| [person:bob m 0-0][person:bob m 3-3]
ralph| Yes I know someone else| [person:bob m 1-1][person:someone u 3-3]
ralph| Walter| [person:walter m 0-0]
bob| Awesome he is the best give him a call| [person:bob m 1-1][person:bob m 6-6]
ralph| Right away|

conv:people_2019081901_84:aug_0:chat_0:chataug_0| keith pedro| [person:keith m 0-0][person:pedro m 1-1]
keith| Hey Pedro you all set for going to Martin s today| [person:pedro m 1-1][person:pedro m 2-2][person:martin m 8-8]
pedro| Yeah man Just wondering what we should bring any ideas| [person:we g(keith:pedro:martin) 5-5]
keith| I was thinking some expensive wine would do the trick| [person:keith m 0-0]
pedro| I had heard they quit drinking a few years back| [person:pedro m 0-0][person:they g(keith:martin) 3-3]
keith| What a pity How about some icecream it will do well with whatever they serve for desert| [person:they g(pedro:martin) 13-13]
pedro| You are forgetting that Mr Martin in diabetic| [person:pedro m 0-0][person:martin m 5-5]
keith| This is so hard it sucks that we don t know them well enough Perhaps we should ask Gregory he knows them well| [person:we g(pedro:martin:martin) 7-7][person:them g(pedro:martin:martin) 11-11][person:we g(pedro:martin:martin) 15-15][person:gregory m 18-18][person:pedro m 19-19]
pedro| Yeah he was the best man at their wedding he would know better for sure| [person:keith m 1-1][person:their g(keith:martin:martin:gregory) 7-7][person:keith m 9-9]
keith| Sounds good tell me what he comes up with| [person:keith m 3-3][person:pedro m 5-5]
pedro| Yeah man I will just get whatever he says I will see you at Martin s place then| [person:pedro m 2-2][person:keith m 7-7][person:pedro m 9-9][person:keith m 12-12][person:martin m 14-14][location:place s 16-16]

conv:people_2019081901_86:aug_0:chat_0:chataug_0| gregory malcolm| [person:gregory m 0-0][person:malcolm m 1-1]
malcolm| Hey Gregory Me and my neighbors Eduardo and Johnny will be going to watch a movie in your area so which theater do you suggest| [person:gregory m 1-1][person:malcolm m 2-2][person:malcolm m 4-4][person:neighbors g() 5-5][person:eduardo m 6-6][person:johnny m 8-8][person:gregory m 17-17][person:gregory m 23-23]
gregory| Hey Malcolm Nice plans you got there There are some which I can suggest| [person:malcolm m 1-1][person:malcolm m 4-4][person:gregory m 11-11]
malcolm| Why don t you also join us so we will know for sure you will be suggesting the best theaters| [person:gregory m 3-3][person:us g(malcolm:johnny:eduardo) 6-6][person:we g(malcolm:gregory) 8-8][person:gregory m 13-13][location:theaters g() 19-19]
gregory| Yes I would be glad to join you guys| [person:gregory m 1-1][person:malcolm m 7-7]
malcolm| Then which theaters do you suggest| [location:theaters g() 2-2][person:gregory m 4-4]
gregory| Well it can be the theater on 5th street the IMAX on Cross boulevard or the Cineplex at the mall| [location:imax s 1-1][location:imax s 5-5][location:street s 8-8][location:imax s 10-10]
