conv:people_chats_04182020_260:aug_0:chat_0:chataug_0| anne klay| [person:anne f 0-0][person:klay m 1-1]
jarvis| I thought you would be the first person to hear| [person:jarvis m 0-0][person:kenedy m 2-2]
kenedy| Just tell me I want to know| [person:kenedy m 2-2][person:kenedy m 3-3]
jarvis| It looks like ESPN is considering giving Michel Vick a spot as an announcer|
kenedy| OMG really|
jarvis| Yup they really have no shame| [person:espn u 1-1]
kenedy| Unbelievable|
jarvis| Hey I wanted to ask you too can you help me with a program this weekend| [person:jarvis m 1-1][person:kenedy m 5-5][person:kenedy m 8-8][person:jarvis m 10-10]
jarvis| It is to benefit the disadvantaged|
kenedy| Oh man I would But I am engaged in another project this weekend| [person:kenedy m 2-2][person:kenedy m 5-5]
kenedy| Butttttttt you should message John and Ross| [person:jarvis m 1-1][person:john m 4-4][person:ross m 6-6]
jarvis| Are they into organizations| [person:j_r g(john:ross) 1-1]
kenedy| Yeah they have amazing organizational skills| [person:j_r g(john:ross) 1-1]
jarvis| Okay I will try| [person:jarvis m 1-1]

conv:people_chats_04182020_442:aug_0:chat_0:chataug_0| barry randy| [person:barry m 0-0][person:randy m 1-1]
randy| Hey Barry let s plan something for our mother s 50th birthday| [person:barry m 1-1][person:our g(randy:barry) 7-7][person:50th u 10-10]
barry| Randy I completely forgot about that What shall we plan| [person:randy m 0-0][person:barry m 1-1][person:we g(randy:barry) 8-8]
randy| I was thinking to take her out for dinner on her birthday| [person:randy m 0-0][person:her f 5-5][person:her f 10-10]
barry| Did you try to contact her Where is she now| [person:randy m 1-1][person:her f 5-5][person:her f 8-8]
randy| I don t know where she is but I m trying to get in touch with her to arrange a date to celebrate her birthday| [person:randy m 0-0][person:her f 5-5][person:her f 8-8][person:her f 16-16][person:her f 23-23]
barry| What did she reply to you Did she feel excited| [person:her f 2-2][person:randy m 5-5][person:her f 7-7]
randy| I m unable to contact her Barry Can you please call our dad and ask about mom| [person:randy m 0-0][person:her f 5-5][person:barry m 6-6][person:barry m 8-8][person:our g(randy:barry) 11-11][person:dad m 12-12][person:her f 16-16]
barry| I contacted him and he said that she is in Mexico and will be unreachable until next week| [person:barry m 0-0][person:dad m 2-2][person:dad m 4-4][person:her f 7-7][location:mexico s 10-10]
randy| Oh okay let s plan about her birthday once she returns from Mexico| [person:her f 6-6][person:her f 9-9][location:mexico s 12-12]
barry| Yeah that would be a great idea|

conv:people_chats_04182020_443:aug_0:chat_0:chataug_0| jordan michael| [person:jordan m 0-0][person:michael m 1-1]
michael| Jordan get ready it s our basketball game next week| [person:jordan m 0-0][person:our g(michael:jordan) 5-5]
jordan| I am ready but we need two more people what are we going to do about that| [person:jordan m 0-0][person:our g(michael:jordan) 4-4][person:our g(michael:jordan) 11-11]
michael| Yeah that s the main problem Do you know anyone who can play for our team| [person:jordan m 7-7][person:anyone u 9-9][person:our g(michael:jordan) 14-14][person:team g(michael:jordan) 15-15]
jordan| We can invite Todd and Jeremy to join the team| [person:our g(michael:jordan) 0-0][person:todd m 3-3][person:jeremy m 5-5][person:team g(michael:jordan) 9-9]
michael| But Todd has poor shooting skills and Jeremy is poor in defense how will they help us winning the game| [person:todd m 1-1][person:jeremy m 7-7][person:they g(todd:jeremy) 14-14][person:our g(michael:jordan) 16-16]
jordan| Look at the good side Jeremy shoots great and Todd can be the defense| [person:jeremy m 5-5][person:todd m 9-9]
michael| Are you sure that they are capable enough to play for our team| [person:jordan m 1-1][person:they g(todd:jeremy) 4-4][person:our g(michael:jordan) 11-11][person:team g(michael:jordan) 12-12]
jordan| They are good players Also good practice can help them make better| [person:they g(todd:jeremy) 0-0][person:they g(todd:jeremy) 9-9]
michael| Alright join them and inform them about the next week s game| [person:they g(todd:jeremy) 2-2][person:they g(todd:jeremy) 5-5]
jordan| Good see you at the game next week| [person:michael m 2-2]

conv:people_chats_04182020_444:aug_0:chat_0:chataug_0| claire jacqueline| [person:claire f 0-0][person:jacqueline f 1-1]
jacqueline| Claire did you find any good place for the body building| [person:claire f 0-0][person:claire f 2-2][location:place s 6-6][location:building s 10-10]
claire| Yeah I have found one But as we don t have much idea about the body building we need to check with trainers| [person:claire f 1-1][person:jacqueline_and_claire g(jacqueline:claire) 7-7][location:building s 16-16][person:jacqueline_and_claire g(jacqueline:claire) 17-17]
jacqueline| Yeah who are the trainers at gym and what are you planning to ask them| [location:gym s 6-6][person:claire f 10-10][person:jean_and_mindy g() 14-14]
claire| Mindy and Jean are the gym trainers and I would ask them whether their gym is perfect for us or not| [person:mindy f 0-0][person:jean f 2-2][location:gym s 5-5][person:claire f 8-8][person:jean_and_mindy g(jean:mindy) 11-11][person:jean_and_mindy g(jean:mindy) 13-13][person:jacqueline_and_claire g(jacqueline:claire) 18-18]
jacqueline| But I think they ll convince us by telling good things about their gym as most of the trainers work on commission| [person:jacqueline f 1-1][person:jean_and_mindy g(jean:mindy) 3-3][person:jacqueline_and_claire g(jacqueline:claire) 6-6][person:jean_and_mindy g(jean:mindy) 12-12][location:gym s 13-13]
claire| What shall we do about it then| [person:jacqueline_and_claire g(jacqueline:claire) 2-2]
jacqueline| We should plan on how to talk with them about the gym| [person:jacqueline_and_claire g(jacqueline:claire) 0-0][person:jean_and_mindy g(jean:mindy) 8-8][location:gym s 11-11]
claire| Yeah that s a great idea Do you have any plan in your mind| [person:jacqueline f 7-7][person:jacqueline f 12-12]
jacqueline| No I ll think of it Then we ll talk to them and get a good picture of their gym| [person:jacqueline f 1-1][person:jacqueline_and_claire g(jacqueline:claire) 7-7][person:jean_and_mindy g(jean:mindy) 11-11][person:jean_and_mindy g(jean:mindy) 18-18][location:gym s 19-19]
claire| Yeah sure let s think about it and decide whether their classes will be useful for us or not| [person:jean_and_mindy g(jean:mindy) 10-10][person:jacqueline_and_claire g(jacqueline:claire) 16-16]

conv:people_chats_04182020_446:aug_0:chat_0:chataug_0| logan richard| [person:logan m 0-0][person:richard m 1-1]
logan| Richard I really miss our high school days man I miss all the fun we used to have| [person:richard m 0-0][person:logan m 1-1][person:our g(logan:richard) 4-4][location:high_school s 5-6][person:logan m 9-9][person:we g(logan:richard) 14-14]
richard| Same with me Do you remember how we used to skip classes and go to the movies| [person:richard m 2-2][person:logan m 4-4][person:we g(logan:richard) 7-7]
logan| Yeah all those memories are still fresh in my mind I was wondering what our other friends Craig and Ricky doing| [person:logan m 8-8][person:logan m 10-10][person:our g(logan:richard) 14-14][person:friends g() 16-16][person:craig m 17-17][person:ricky m 19-19]
richard| I have not heard from them in a long time| [person:richard m 0-0][person:friends g(craig:ricky) 5-5]
logan| Shall we make a plan and have a reunion some day| [person:we g(logan:richard) 1-1]
richard| I would like that very much Who all do you want to invite| [person:richard m 0-0][person:logan m 9-9]
logan| I don t know we ll think about calling others later now lets just inform Craig and Ricky about the reunion| [person:logan m 0-0][person:we g(logan:richard) 4-4][person:others g() 9-9][person:craig m 15-15][person:ricky m 17-17]
richard| Good you pick a time and place first then we will see what comes of it| [person:logan m 1-1][location:place s 6-6][person:we g(logan:richard) 9-9]
logan| How about our favorite bar downtown that is also a good place to have drinks| [person:our g(logan:richard) 2-2][location:bar s 4-4][location:downtown s 5-5][location:place s 11-11]
richard| Sounds good to me We will pick a time after we talk to others| [person:richard m 3-3][person:we g(logan:richard) 4-4][person:we g(logan:richard) 10-10][person:others g(craig:ricky) 13-13]

conv:people_chats_04182020_449:aug_0:chat_0:chataug_0| matt nolan| [person:matt m 0-0][person:nolan m 1-1]
matt| Hey Nolan What are you doing| [person:nolan m 1-1][person:nolan m 4-4]
nolan| Hey Matt nothing much Have you seen Ashley and Catherine| [person:matt m 1-1][person:matt m 5-5][person:ashley f 7-7][person:catherine f 9-9]
matt| I haven t seen them since dinner last night| [person:matt m 0-0][person:them g(ashley:catherine) 4-4]
nolan| That s weird where did they go| [person:them g(ashley:catherine) 5-5]
matt| Why are you looking for them| [person:nolan m 2-2][person:them g(ashley:catherine) 5-5]
nolan| I was supposed to go out with them| [person:nolan m 0-0][person:them g(ashley:catherine) 7-7]
matt| Where were you guys planning to go without me| [person:nolan m 2-2][person:matt m 8-8]
nolan| I was supposed to go with them into town at ten for shopping I didn t ask you because you hate shopping| [person:nolan m 0-0][person:them g(ashley:catherine) 6-6][location:town s 8-8][person:nolan m 13-13][person:matt m 17-17][person:matt m 19-19]
matt| That s right Why don t you check with their friends They might be at one of their places| [person:nolan m 6-6][person:them g(ashley:catherine) 9-9][person:friends g() 10-10][person:friends g() 11-11][person:them g(ashley:catherine) 17-17][location:places g() 18-18]
nolan| Alright I ll check with them| [person:nolan m 1-1][person:them g(ashley:catherine) 5-5]

conv:people_chats_04182020_451:aug_0:chat_0:chataug_0| greg lucy| [person:greg m 0-0][person:lucy f 1-1]
greg| Hey Lucy We should give Father a special birthday What do you say| [person:lucy f 1-1][person:we g(greg:lucy) 2-2][person:lucy f 11-11]
lucy| Yes Greg We need to come up with some more ideas about favorite foods and gifts| [person:greg m 1-1][person:we g(greg:lucy) 2-2]
greg| We knew that Father had a hard year Let us make this year a very memorable on his birthday| [person:we g(greg:lucy) 0-0][person:father m 3-3][person:we g(greg:lucy) 9-9][person:father m 17-17]
lucy| Yes Lucy We may also talk to dad s friends Lucas and Arthur for more ideas| [person:lucy f 1-1][person:we g(greg:lucy) 2-2][person:father m 7-7][person:friends g() 9-9][person:lucas m 10-10][person:arthur m 12-12]
greg| That was nice thought As they knew father long they might help us in our celebration| [person:friends g(lucas:arthur) 5-5][person:friends g(lucas:arthur) 9-9][person:we g(greg:lucy) 12-12][person:we g(greg:lucy) 14-14]
lucy| Father knows them very long They will surely help us Buy which one you particularly prefer| [person:father m 0-0][person:friends g(lucas:arthur) 2-2][person:friends g(lucas:arthur) 5-5][person:we g(greg:lucy) 9-9][person:greg m 13-13]
greg| I don t know even I feel both are same But we need to go with one| [person:greg m 0-0][person:greg m 5-5][person:we g(greg:lucy) 11-11]
lucy| Yes You are right I will go with Arthur as he is near by What do you say| [person:greg m 1-1][person:lucy f 4-4][person:arthur m 8-8][person:arthur m 10-10][person:greg m 16-16]
greg| That was quite good idea Arthur was the one who will help us in this| [person:arthur m 5-5][person:we g(greg:lucy) 12-12]
lucy| Yes Greg Let us go and seek his help which will get some more ideas in the celebration| [person:greg m 1-1][person:we g(greg:lucy) 3-3][person:arthur m 7-7]

conv:people_chats_04182020_452:aug_0:chat_0:chataug_0| harry joan| [person:harry m 0-0][person:joan f 1-1]
harry| O Hawaii no ka aina maikai Ring any bells Joan| [location:hawaii s 1-1][person:joan f 9-9]
joan| Sounds like surfing on the Waikiki and going to Haleakala Hallelujah Hawai| [location:waikiki s 5-5][location:haleakala s 9-9][location:hawaii s 11-11]
joan| Are we sailing over the Mauna Kea dude Don t forget Hawaii is paradise born of fire I am already thinking myself in the heat of Honolulu| [person:we g(harry:joan) 1-1][location:mauna_kea s 5-6][location:hawaii s 11-11][person:joan f 17-17][person:joan f 21-21][location:honolulu s 26-26]
harry| Hold your horses young lady Hawai is definitely on the cards but Houstan we have a problem| [person:joan f 1-1][location:hawaii s 5-5][person:we g(harry:joan) 13-13]
joan| Don t say we gonna crash land inside any Hawaian Volcano Just kidding I know you talking about mom and dad Shouldn t we discuss| [person:we g(harry:joan) 3-3][person:joan f 13-13][person:harry m 15-15][person:mom f 18-18][person:dad m 20-20][person:we g(harry:joan) 23-23]
harry| I think it s a good idea to gift them this vacation It would reminisce of their 20 s After all they became lovers climbing to summit| [person:harry m 0-0][person:them g(mom:dad) 9-9][person:them g(mom:dad) 16-16][person:them g(mom:dad) 21-21]
joan| I am super awed about what s going to happen next Beaches sunset and two love birds It s 100 times better than Texas they plan to visit this summer| [person:joan f 0-0][location:texas s 23-23][person:them g(mom:dad) 24-24]
harry| For the first time you and me are on the same page Undoubtedly an excellent package I am going to call mom| [person:joan f 4-4][person:harry m 6-6][person:harry m 16-16][person:mom f 21-21]
joan| You better do Dad is here Hope this plan lifts off in style| [person:harry m 0-0][person:dad m 3-3]
harry| I am sure it will Time to fuel the tank| [person:harry m 0-0]
